word,meaning,memory_count,sentence
enroll,"등록하다, 입대, 입학, 입회하다 (v)",0,
auxiliary,"보조의, 예비의",0,
persist,"고집하다, 계속되다",0,
maggot,"변덕, 구더기",0,
franchise,"선거권, 특권, 시민권, 독점 판매권",0,
doleful,슬픈,0,
immerse,"담그다, 빠져들게 하다, 몰두시키다",0,
fad,"변덕, 유행",0,
principal,주요한,0,
enrage,화나게 하다,0,
conception,"개념, 생각",0,
thermal,열의,0,
lapse,"경과, 실수, 경과하다",0,
veritable,진실의,0,
depict,"그리다, 묘사하다",0,
gambit,책략,0,
ascertain,확인하다,0,
off-hand,"즉석에서, 즉석의",0,
conspicuous,"잘 보이는, 튀는",0,
binge,"야단 법석, 탐닉, 흥청거림, 분수없이 마심",0,
countervail,무효로 만들다,0,
temperate,온화한,0,
pedagogy,교육학,0,
unearth,"발굴하다, 밝혀내다",0,
indolence,게으름,0,
spooky,으스스한,0,
mend,"수선하다, 고치다, 수선",0,
demographic,인구학의,0,
reactionary,"반동의, 보수적인",0,
apex,꼭대기,0,
livery,"제복, 까다로운",0,
abridge,"요약하다, 생략하다, 축소하다",0,
serenity,"고요함, 침착",0,
misty,"안개 낀, 희미한",0,
disparity,"차이, 불일치",0,
wicked,못된,0,
keynote,"요지, 기조",0,
tart,"시큼한, 새콤한, 날카로운",0,
sycophant,아첨꾼,0,
retreat,"후퇴, 은둔, 피난처, 후퇴하다",0,
incorrigible,"고질적인, 구제불능의",0,
proprietor,소유자,0,
empathy,"감정이입, 공감",0,
concise,간결한,0,
eunuch,"환관, 내시, 아무 영향력이 없는 사람",0,
conjure,"마법으로 ~하다, 요술을 부리다",0,
corpulent,"뚱뚱한, 살찐",0,
cacophony,"불협화음, 소음",0,
capricious,변덕스러운,0,
brew,(맥주 등을) 양조하다,0,
remittance,"송금, 송금액",0,
amerce,~에게 벌금의 과하다,0,
ramification,"결과, 파급효과",0,
umbrage,"분개, 불쾌",0,
corrosive,"부식하는, 부식성의, 신랄한",0,
pant,헐떡거리다,0,
overt,명백한,0,
agitate,"선동하다, 동요시키다, 흔들다",0,
allay,"누그러뜨리다, 진정시키다",0,
outstrip,"능가하다, ~보다 뛰어나다",0,
matrimonial,결혼의,0,
clamber,기어 올라가다,0,
pillory,"웃음거리로 만들다, 강력히 비판하다",0,
shrill,날카로운,0,
shaggy,덥수룩한,0,
luxuriant,"무성한, 화려한",0,
sully,훼손하다,0,
barb,가시 돋친 말,0,
torpor,마비,0,
buffet,"연속적인 타격, 치다",0,
downright,"명백한, 노골적인, 완전히, 철저히",0,
clinch,"결말을 짓다, 매듭짓다",0,
provident,"선견지명이 있는, 검소한",0,
apartheid,"인종차별정책, 분리",0,
badger,괴롭히다,0,
libertine,"방탕자, 난봉꾼",0,
cursory,몹시 서두르는,0,
consanguinity, 친족,0,
jovial,"쾌할한, 유쾌한",0,
matrix,"기반, 자궁",0,
ardent,열렬한,0,
practicable,"실용적인, 실행가능한",0,
adage,"격언, 속담",0,
mull,숙고하다,0,
populous,인구가 많은,0,
befit,걸맞다,0,
subside,"가라앉다, 진정되다, 내려앉다",0,
preponderant,"우세한, 압도적인",0,
fertilizer,"비료, 거름",0,
contrite,회개하다,0,
renaissance,"르네상스, 부흥, 부활",0,
mope,"우울해하다, 헤매다",0,
likeness,"닮음, 유사성, 겉보기",0,
salvage,"구조, 인양, 구출하다",0,
obviate,"제거하다, 미연에 방지하다",0,
belonging,"소유물, 부속물, 가족",0,
feminine,여자의,0,
glossary,"용어 사전, 용어 해설",0,
supine,"반듯이 누운, 무관심한",0,
congruent,"일치하는, 적합한",0,
decimal,"십진법의, 소수의",0,
sarcasm,비꼼,0,
attribute A to B,A를 B의 덕(탓)으로 하다,0,"attribute 속성, 특질, 자질"
tinge,"물들이다, 가미하다, 엷은 색조",0,
moving,"이동하는, 감동시키는",0,
proffer,"제공하다, 제의하다, 제출, 제공",0,
attorney,"변호사, 대리인",0,
ensue,"잇따라 일어나다, 결과로 일어나다",0,
jaywalk,무단횡단하다,0,
inept,"솜씨 없는, 무능한",0,
paraphernalia,"자잘한 소지품, 장치",0,
straightforward,"정직한, 간단한",0,
discharge,"해고하다, 해방, 해고, (채무) 이행",0,
hymn,찬송가,0,
breach,"위반, 불화, 틈, 깨뜨리다",0,
seclude,"떼어놓다, 차단하다",0,
nausea,메스꺼움,0,
diploma,"졸업장, 학위",0,
enforce,"집행하다, 시행하다, 강요하다",0,
immemorial,아주 옛날의,0,
commune,친하게 얘기하다,0,
unseemly,"모양이 흉한, 부적당한",0,
ample,"풍부한, 넓은",0,
hinder,방해하다,0,
incumbent,"의무로서 지워지는, 현직의, 현직자",0,
vocation,"직업, 천직 ",0,
descend,"내려가다, ~의 자손이다",0,
peripheral,"주변의, 주변적인",0,
drift,"포류, 동향, 경향, 포류하다, 떠돌다",0,
meander,"굽이쳐 흐르다, 정처 없이 거닐다, 두서없이 진행되다",0,
archenemy,"대적, 악마",0,
licentious,방탕한,0,
intrude,"강요하다, 침입하다",0,
dint,"힘, 폭력, 움푹 들어간 곳",0,
fluctuate,"수시로 변하다, 변동하다",0,
temper,"완화시키다, 단련시키다, 기질, 화, 짜증",0,
consequence,"결과, 중요성",0,
secrete,"분비하다, 비밀로 하다",0,
gallant,"용감한, 씩씩한",0,
enfeeble,약화시키다,0,
questionnaire,"질문표, 설문조사",0,
faction,"당파, 파벌",0,
boast,"자랑하다, 자랑, 허풍, 떠벌리다",0,
purview,"범위, 권한, 시야, 이해",0,
comprise,포함하다,0,
unwonted,"드문, 이례적인",0,
intellect,"지능, 지성, 지식인",0,
disperse,흩어지게하다,0,
potable,마시기에 적합한,0,
appease,달래다,0,
savvy,"요령있는, 실제적 지식, 알다, 이해하다",0,
encomium,"찬사, 칭찬",0,
rosy,장미빛의,0,
strive,"노력하다, 애쓰다, 싸우다",0,
decent,"예의바른, 알맞은",0,
hitherto,"지금까지는, 지금까지로 봐서는",0,
patriarch,가장,0,
maternal,"어머니의, 임산부의",0,
vary,"다르다, 바꾸다",0,
measles,홍역,0,
bellicose,호전적인,0,
relish,"즐기다, 맛, 풍기, 재미",0,
extensive,"넓은, 광대한",0,
connoisseur,감정가,0,
solidarity,"연대, 단결",0,
alternate,"번갈아 일어나다, 교대의",0,
horde,"큰 무리, 다수",0,
ophthalmologist,안과의사,0,
surmise,"추측하다, 추측",0,
curtail,삭감하다,0,
philanthropist,"자선가, 박애주의자",0,
aberrant,"비정상적인, 일탈적인",0,
marital,"결혼의, 혼인의, 부부간의",0,
gibberish,횡설수설,0,
astronomical,"천문학적인, 막대한",0,
ogle,추파를 던지다,0,
cataract,"폭포, 백내장",0,
abase,떨어뜨리다,0,
orator,"연설가, 웅변가",0,
viable,실행가능한,0,
prune,"잘라내다, (필요없는 부분을) 제거하다",0,
carnivorous,"육식의, 육식성의",0,
complaisant,"사근사근한, 친절한, 공손한",0,
overweening,"자만심이 강한, 과장된",0,
mercenary,"돈을 위한, 돈을 목적으로 일하는",0,
recuperate,회복하다,0,
dormant,"잠자는, 휴면기의",0,
fulminate,맹렬히 비난하다,0,
antiseptic,"소독제, 방부제",0,
nihilism,"허무주의, 니힐리즘",0,
cloying,"질릴 정도인, 싫증나게 하는",0,
interlude,"막간, 사이에 생긴 일, 에피소드",0,"intermission, interval"
supreme,최고의,0,
setback,"방해, 퇴보, 패배",0,
belvedere,전망대,0,
grasp,"붙잡다, 이해하다",0,
somatic,"신체의, 육체적인",0,
oblivion,망각,0,
haughty,오만한,0,
transcend,초월하다,0,
convalescence,"차도가 있음, 회복",0,
audacious,"대담한, 뻔뻔한",0,
demented,"정신 이상인, 미친, 치매에 걸린",0,
exclude,"배제하다, 받아들이지 않다",0,
quantum,"양, 할당량, 획기적인, 비약적인",0,
pathetic,"측은한, 불쌍한",0,
loathe,몹시 싫어하다,0,
opaque,불투명한,0,
dismiss,"떠나게하다, 해산시키다, 묵살하다",0,
auspice,"원조, 보호, 전조, 길조",0,
frown,"눈살을 찌푸리다, 찡그린 얼굴",0,
pathology,병리학,0,
myriad,"무수한 사람, 무수한 ",0,
hypochondria,"(건강에 대한) 지나친 걱정, 건강염려증",0,
stool,"의자, 변기, 싹이 돋다",0,
cram,"밀어넣다, 가득 채우다, 벼락치기 공부를 하다",0,
bona fide,"진실된, 성실한, 진심으로, 성실하게",0,
rejuvenate,다시 젊어지게 하다,0,
uproar,"소동, 소란, 엄청난 논란",0,
malleable,"두드려 펼 수 있는, 전성이 있는, 순응성이 있는, 유순한",0,
narcissism,"자기애, 자기중심주의",0,
copious,"풍부한, 매우 많은, 내용이 풍부한",0,
venal,"매수할 수 있는, 뇌물로 움직이는",0,
attempt,"시도, 시도하다",0,
incremental,"증가의, 증대하는",0,
touchy,"화를 잘 내는, 과민한, 까다로운",0,
resurrection,"그리스도의 부활, 부흥",0,
scintillating,"반짝거리는, 재미있는",0,
Mediterranean,"지중해의, 지중해",0,
descendant,"자손, 후예",0,
brand,"낙인을 찍다, 오명을 씌우다",0,
infallible,"결코 틀리지 않는, 절대 확실한",0,
superintend,"지휘하다, 관리하다",0,
congenital,"(질병이) 타고난, 선천적인",0,
endorse,"승인하다, 지지하다, 보증하다",0,
dolt,"멍청이, 바보, 얼간이",0,
feasible,"실행할 수 있는, 가능한, 적합한",0,
glamorize,"매력적으로 보이게 하다, 미화하다",0,
categorically,단정적으로,0,
stumble,"걸려넘어지다, 비틀거리다",0,
bivouac,"야영, 야영지",0,
trafficking,"밀매, 불법거래",0,
providence,섭리,0,
abbey,"대수도원, 수녀원",0,
senator,상원의원,0,
crestfallen,"의기소침한, 풀이 죽은",0,
cherubic,"천사 같은, 순진한",0,
veracious,"정직한, 진실을 말하는",0,
celestial,"하늘의, 천체의",0,
sweltering,찌는 듯이 더운,0,
prolix,"지루한, 장황한",0,
lurid,"섬뜩한, 무시무시한, 야한",0,
angst,"불안, 걱정",0,
picayune,하찮은,0,
remiss,"태만한, 소홀한, 부주의한",0,
salutary,"유익한, 건전한, 이로운",0,
wean,젖을 떼다,0,
puritanical,"엄격한, 청교도적인, 금욕주의의",0,
unperturbed,"(마음이) 흔들리지 않는, 침착한",0,
propagate,전파하다,0,
moderate,완화하다,0,
hamper,방해하다,0,
arid,매우 건조한,0,
languid,힘 없는,0,
stagnant,침체된,0,their countries' economies will most likely remain stagnant for a long time
slant,"기울어지다, 비스듬히 기운",0,be slanting over the high walls into the jail yard
condemned,"비난받은, 사형수의",0,condemned cells
glamourous,화려함,0,
